,region,date,year,month,popn,obs
1,Alice Springs,31/1/2017,2017,1,39616,24
2,Barkly,31/1/2017,2017,1,6114,68
3,Bowen Basin - North,31/1/2017,2017,1,34303,5
4,Cairns_Region,31/1/2017,2017,1,160339,72
5,Charters Towers - Ayr - Ingham,31/1/2017,2017,1,42628,38
6,Daly - Tiwi - West Arnhem,31/1/2017,2017,1,17945,4
7,Darwin_Region,31/1/2017,2017,1,87677,103
8,East Arnhem,31/1/2017,2017,1,14516,17
9,East Pilbara,31/1/2017,2017,1,25894,0
10,Far North,31/1/2017,2017,1,33560,133
11,Innisfail - Cassowary Coast,31/1/2017,2017,1,35652,10
12,Katherine,31/1/2017,2017,1,20825,65
13,Kimberley,31/1/2017,2017,1,36661,0
14,Litchfield,31/1/2017,2017,1,24668,2
15,Mackay,31/1/2017,2017,1,117557,10
16,Outback - North,31/1/2017,2017,1,30820,64
17,Palmerston,31/1/2017,2017,1,36800,15
18,Port Douglas - Daintree,31/1/2017,2017,1,12129,7
19,Tablelands (East) - Kuranda,31/1/2017,2017,1,41661,28
20,Townsville,31/1/2017,2017,1,192601,55
21,West Pilbara,31/1/2017,2017,1,34522,3
22,Whitsunday,31/1/2017,2017,1,22285,1
23,Alice Springs,28/2/2017,2017,2,39616,33
24,Barkly,28/2/2017,2017,2,6114,59
25,Bowen Basin - North,28/2/2017,2017,2,34303,2
26,Cairns_Region,28/2/2017,2017,2,160339,54
27,Charters Towers - Ayr - Ingham,28/2/2017,2017,2,42628,19
28,Daly - Tiwi - West Arnhem,28/2/2017,2017,2,17945,8
29,Darwin_Region,28/2/2017,2017,2,87677,108
30,East Arnhem,28/2/2017,2017,2,14516,14
31,East Pilbara,28/2/2017,2017,2,25894,0
32,Far North,28/2/2017,2017,2,33560,113
33,Innisfail - Cassowary Coast,28/2/2017,2017,2,35652,4
34,Katherine,28/2/2017,2017,2,20825,67
35,Kimberley,28/2/2017,2017,2,36661,0
36,Litchfield,28/2/2017,2017,2,24668,2
37,Mackay,28/2/2017,2017,2,117557,11
38,Outback - North,28/2/2017,2017,2,30820,59
39,Palmerston,28/2/2017,2017,2,36800,19
40,Port Douglas - Daintree,28/2/2017,2017,2,12129,6
41,Tablelands (East) - Kuranda,28/2/2017,2017,2,41661,20
42,Townsville,28/2/2017,2017,2,192601,46
43,West Pilbara,28/2/2017,2017,2,34522,2
44,Whitsunday,28/2/2017,2017,2,22285,1
45,Alice Springs,31/3/2017,2017,3,39616,31
46,Barkly,31/3/2017,2017,3,6114,45
47,Bowen Basin - North,31/3/2017,2017,3,34303,2
48,Cairns_Region,31/3/2017,2017,3,160339,59
49,Charters Towers - Ayr - Ingham,31/3/2017,2017,3,42628,32
50,Daly - Tiwi - West Arnhem,31/3/2017,2017,3,17945,8
51,Darwin_Region,31/3/2017,2017,3,87677,85
52,East Arnhem,31/3/2017,2017,3,14516,17
53,East Pilbara,31/3/2017,2017,3,25894,1
54,Far North,31/3/2017,2017,3,33560,138
55,Innisfail - Cassowary Coast,31/3/2017,2017,3,35652,10
56,Katherine,31/3/2017,2017,3,20825,76
57,Kimberley,31/3/2017,2017,3,36661,2
58,Litchfield,31/3/2017,2017,3,24668,5
59,Mackay,31/3/2017,2017,3,117557,9
60,Outback - North,31/3/2017,2017,3,30820,63
61,Palmerston,31/3/2017,2017,3,36800,28
62,Port Douglas - Daintree,31/3/2017,2017,3,12129,8
63,Tablelands (East) - Kuranda,31/3/2017,2017,3,41661,18
64,Townsville,31/3/2017,2017,3,192601,44
65,West Pilbara,31/3/2017,2017,3,34522,0
66,Whitsunday,31/3/2017,2017,3,22285,2
67,Alice Springs,30/4/2017,2017,4,39616,20
68,Barkly,30/4/2017,2017,4,6114,52
69,Bowen Basin - North,30/4/2017,2017,4,34303,5
70,Cairns_Region,30/4/2017,2017,4,160339,44
71,Charters Towers - Ayr - Ingham,30/4/2017,2017,4,42628,14
72,Daly - Tiwi - West Arnhem,30/4/2017,2017,4,17945,7
73,Darwin_Region,30/4/2017,2017,4,87677,90
74,East Arnhem,30/4/2017,2017,4,14516,15
75,East Pilbara,30/4/2017,2017,4,25894,0
76,Far North,30/4/2017,2017,4,33560,92
77,Innisfail - Cassowary Coast,30/4/2017,2017,4,35652,5
78,Katherine,30/4/2017,2017,4,20825,64
79,Kimberley,30/4/2017,2017,4,36661,0
80,Litchfield,30/4/2017,2017,4,24668,3
81,Mackay,30/4/2017,2017,4,117557,8
82,Outback - North,30/4/2017,2017,4,30820,32
83,Palmerston,30/4/2017,2017,4,36800,17
84,Port Douglas - Daintree,30/4/2017,2017,4,12129,7
85,Tablelands (East) - Kuranda,30/4/2017,2017,4,41661,25
86,Townsville,30/4/2017,2017,4,192601,39
87,West Pilbara,30/4/2017,2017,4,34522,0
88,Whitsunday,30/4/2017,2017,4,22285,7
89,Alice Springs,31/5/2017,2017,5,39616,29
90,Barkly,31/5/2017,2017,5,6114,62
91,Bowen Basin - North,31/5/2017,2017,5,34303,5
92,Cairns_Region,31/5/2017,2017,5,160339,43
93,Charters Towers - Ayr - Ingham,31/5/2017,2017,5,42628,24
94,Daly - Tiwi - West Arnhem,31/5/2017,2017,5,17945,4
95,Darwin_Region,31/5/2017,2017,5,87677,87
96,East Arnhem,31/5/2017,2017,5,14516,12
97,East Pilbara,31/5/2017,2017,5,25894,1
98,Far North,31/5/2017,2017,5,33560,82
99,Innisfail - Cassowary Coast,31/5/2017,2017,5,35652,3
100,Katherine,31/5/2017,2017,5,20825,57
101,Kimberley,31/5/2017,2017,5,36661,0
102,Litchfield,31/5/2017,2017,5,24668,0
103,Mackay,31/5/2017,2017,5,117557,13
104,Outback - North,31/5/2017,2017,5,30820,37
105,Palmerston,31/5/2017,2017,5,36800,20
106,Port Douglas - Daintree,31/5/2017,2017,5,12129,8
107,Tablelands (East) - Kuranda,31/5/2017,2017,5,41661,15
108,Townsville,31/5/2017,2017,5,192601,37
109,West Pilbara,31/5/2017,2017,5,34522,3
110,Whitsunday,31/5/2017,2017,5,22285,1
111,Alice Springs,30/6/2017,2017,6,39616,15
112,Barkly,30/6/2017,2017,6,6114,49
113,Bowen Basin - North,30/6/2017,2017,6,34303,2
114,Cairns_Region,30/6/2017,2017,6,160339,37
115,Charters Towers - Ayr - Ingham,30/6/2017,2017,6,42628,11
116,Daly - Tiwi - West Arnhem,30/6/2017,2017,6,17945,1
117,Darwin_Region,30/6/2017,2017,6,87677,99
118,East Arnhem,30/6/2017,2017,6,14516,10
119,East Pilbara,30/6/2017,2017,6,25894,0
120,Far North,30/6/2017,2017,6,33560,67
121,Innisfail - Cassowary Coast,30/6/2017,2017,6,35652,5
122,Katherine,30/6/2017,2017,6,20825,49
123,Kimberley,30/6/2017,2017,6,36661,0
124,Litchfield,30/6/2017,2017,6,24668,0
125,Mackay,30/6/2017,2017,6,117557,10
126,Outback - North,30/6/2017,2017,6,30820,27
127,Palmerston,30/6/2017,2017,6,36800,19
128,Port Douglas - Daintree,30/6/2017,2017,6,12129,1
129,Tablelands (East) - Kuranda,30/6/2017,2017,6,41661,11
130,Townsville,30/6/2017,2017,6,192601,22
131,West Pilbara,30/6/2017,2017,6,34522,3
132,Whitsunday,30/6/2017,2017,6,22285,3
133,Alice Springs,31/7/2017,2017,7,39616,14
134,Barkly,31/7/2017,2017,7,6114,39
135,Bowen Basin - North,31/7/2017,2017,7,34303,2
136,Cairns_Region,31/7/2017,2017,7,160339,44
137,Charters Towers - Ayr - Ingham,31/7/2017,2017,7,42628,14
138,Daly - Tiwi - West Arnhem,31/7/2017,2017,7,17945,1
139,Darwin_Region,31/7/2017,2017,7,87677,73
140,East Arnhem,31/7/2017,2017,7,14516,7
141,East Pilbara,31/7/2017,2017,7,25894,0
142,Far North,31/7/2017,2017,7,33560,66
143,Innisfail - Cassowary Coast,31/7/2017,2017,7,35652,5
144,Katherine,31/7/2017,2017,7,20825,55
145,Kimberley,31/7/2017,2017,7,36661,1
146,Litchfield,31/7/2017,2017,7,24668,1
147,Mackay,31/7/2017,2017,7,117557,11
148,Outback - North,31/7/2017,2017,7,30820,45
149,Palmerston,31/7/2017,2017,7,36800,12
150,Port Douglas - Daintree,31/7/2017,2017,7,12129,2
151,Tablelands (East) - Kuranda,31/7/2017,2017,7,41661,10
152,Townsville,31/7/2017,2017,7,192601,32
153,West Pilbara,31/7/2017,2017,7,34522,1
154,Whitsunday,31/7/2017,2017,7,22285,2
155,Alice Springs,31/8/2017,2017,8,39616,11
156,Barkly,31/8/2017,2017,8,6114,32
157,Bowen Basin - North,31/8/2017,2017,8,34303,3
158,Cairns_Region,31/8/2017,2017,8,160339,51
159,Charters Towers - Ayr - Ingham,31/8/2017,2017,8,42628,23
160,Daly - Tiwi - West Arnhem,31/8/2017,2017,8,17945,2
161,Darwin_Region,31/8/2017,2017,8,87677,76
162,East Arnhem,31/8/2017,2017,8,14516,16
163,East Pilbara,31/8/2017,2017,8,25894,0
164,Far North,31/8/2017,2017,8,33560,53
165,Innisfail - Cassowary Coast,31/8/2017,2017,8,35652,10
166,Katherine,31/8/2017,2017,8,20825,74
167,Kimberley,31/8/2017,2017,8,36661,4
168,Litchfield,31/8/2017,2017,8,24668,2
169,Mackay,31/8/2017,2017,8,117557,8
170,Outback - North,31/8/2017,2017,8,30820,38
171,Palmerston,31/8/2017,2017,8,36800,8
172,Port Douglas - Daintree,31/8/2017,2017,8,12129,1
173,Tablelands (East) - Kuranda,31/8/2017,2017,8,41661,13
174,Townsville,31/8/2017,2017,8,192601,26
175,West Pilbara,31/8/2017,2017,8,34522,0
176,Whitsunday,31/8/2017,2017,8,22285,2
177,Alice Springs,30/9/2017,2017,9,39616,51
178,Barkly,30/9/2017,2017,9,6114,43
179,Bowen Basin - North,30/9/2017,2017,9,34303,0
180,Cairns_Region,30/9/2017,2017,9,160339,38
181,Charters Towers - Ayr - Ingham,30/9/2017,2017,9,42628,19
182,Daly - Tiwi - West Arnhem,30/9/2017,2017,9,17945,1
183,Darwin_Region,30/9/2017,2017,9,87677,55
184,East Arnhem,30/9/2017,2017,9,14516,12
185,East Pilbara,30/9/2017,2017,9,25894,1
186,Far North,30/9/2017,2017,9,33560,59
187,Innisfail - Cassowary Coast,30/9/2017,2017,9,35652,4
188,Katherine,30/9/2017,2017,9,20825,53
189,Kimberley,30/9/2017,2017,9,36661,1
190,Litchfield,30/9/2017,2017,9,24668,3
191,Mackay,30/9/2017,2017,9,117557,9
192,Outback - North,30/9/2017,2017,9,30820,24
193,Palmerston,30/9/2017,2017,9,36800,15
194,Port Douglas - Daintree,30/9/2017,2017,9,12129,8
195,Tablelands (East) - Kuranda,30/9/2017,2017,9,41661,5
196,Townsville,30/9/2017,2017,9,192601,41
197,West Pilbara,30/9/2017,2017,9,34522,1
198,Whitsunday,30/9/2017,2017,9,22285,1
199,Alice Springs,31/10/2017,2017,10,39616,84
200,Barkly,31/10/2017,2017,10,6114,38
201,Bowen Basin - North,31/10/2017,2017,10,34303,0
202,Cairns_Region,31/10/2017,2017,10,160339,35
203,Charters Towers - Ayr - Ingham,31/10/2017,2017,10,42628,15
