"","region","date","year","month","popn","obs","p","rate","obs.noise"
"1","Alice Springs",2017-01-31,2017,1,39616,25,0.000631058,6.310581583,24
"2","Barkly",2017-01-31,2017,1,6114,69,0.011285574,112.8557409,68
"3","Bowen Basin - North",2017-01-31,2017,1,34303,6,0.000174912,1.749118153,5
"4","Cairns_Region",2017-01-31,2017,1,160339,73,0.000455285,4.552853641,72
"5","Charters Towers - Ayr - Ingham",2017-01-31,2017,1,42628,39,0.000914892,9.148916205,38
"6","Daly - Tiwi - West Arnhem",2017-01-31,2017,1,17945,5,0.000278629,2.786291446,4
"7","Darwin_Region",2017-01-31,2017,1,87677,104,0.001186172,11.86171972,103
"8","East Arnhem",2017-01-31,2017,1,14516,18,0.001240011,12.40011022,17
"9","East Pilbara",2017-01-31,2017,1,25894,1,3.86189850930718e-05,0.386189851,0
"10","Far North",2017-01-31,2017,1,33560,134,0.003992849,39.92848629,133
"11","Innisfail - Cassowary Coast",2017-01-31,2017,1,35652,11,0.000308538,3.085380904,10
"12","Katherine",2017-01-31,2017,1,20825,66,0.003169268,31.69267707,65
"13","Kimberley",2017-01-31,2017,1,36661,0,0,0,0
"14","Litchfield",2017-01-31,2017,1,24668,3,0.000121615,1.216150478,2
"15","Mackay",2017-01-31,2017,1,117557,11,9.35716290820623e-05,0.935716291,10
"16","Outback - North",2017-01-31,2017,1,30820,65,0.00210902,21.09020117,64
"17","Palmerston",2017-01-31,2017,1,36800,16,0.000434783,4.347826087,15
"18","Port Douglas - Daintree",2017-01-31,2017,1,12129,8,0.000659576,6.595762223,7
"19","Tablelands (East) - Kuranda",2017-01-31,2017,1,41661,29,0.000696095,6.960946689,28
"20","Townsville",2017-01-31,2017,1,192601,56,0.000290757,2.907565381,55
"21","West Pilbara",2017-01-31,2017,1,34522,4,0.000115868,1.158681421,3
"22","Whitsunday",2017-01-31,2017,1,22285,2,8.97464662328921e-05,0.897464662,1
"23","Alice Springs",2017-02-28,2017,2,39616,34,0.000858239,8.582390953,33
"24","Barkly",2017-02-28,2017,2,6114,60,0.009813543,98.13542689,59
"25","Bowen Basin - North",2017-02-28,2017,2,34303,3,8.74559076465615e-05,0.874559076,2
"26","Cairns_Region",2017-02-28,2017,2,160339,55,0.000343023,3.430232196,54
"27","Charters Towers - Ayr - Ingham",2017-02-28,2017,2,42628,20,0.000469175,4.6917519,19
"28","Daly - Tiwi - West Arnhem",2017-02-28,2017,2,17945,9,0.000501532,5.015324603,8
"29","Darwin_Region",2017-02-28,2017,2,87677,109,0.001243199,12.43199471,108
"30","East Arnhem",2017-02-28,2017,2,14516,15,0.001033343,10.33342519,14
"31","East Pilbara",2017-02-28,2017,2,25894,0,0,0,0
"32","Far North",2017-02-28,2017,2,33560,114,0.003396901,33.96901073,113
"33","Innisfail - Cassowary Coast",2017-02-28,2017,2,35652,5,0.000140245,1.402445866,4
"34","Katherine",2017-02-28,2017,2,20825,68,0.003265306,32.65306122,67
"35","Kimberley",2017-02-28,2017,2,36661,0,0,0,0
"36","Litchfield",2017-02-28,2017,2,24668,3,0.000121615,1.216150478,2
"37","Mackay",2017-02-28,2017,2,117557,12,0.000102078,1.020781408,11
"38","Outback - North",2017-02-28,2017,2,30820,60,0.001946788,19.467878,59
"39","Palmerston",2017-02-28,2017,2,36800,20,0.000543478,5.434782609,19
"40","Port Douglas - Daintree",2017-02-28,2017,2,12129,7,0.000577129,5.771291945,6
"41","Tablelands (East) - Kuranda",2017-02-28,2017,2,41661,21,0.000504069,5.040685533,20
"42","Townsville",2017-02-28,2017,2,192601,47,0.000244028,2.440278088,46
"43","West Pilbara",2017-02-28,2017,2,34522,3,8.69011065407566e-05,0.869011065,2
"44","Whitsunday",2017-02-28,2017,2,22285,2,8.97464662328921e-05,0.897464662,1
"45","Alice Springs",2017-03-31,2017,3,39616,32,0.000807754,8.077544426,31
"46","Barkly",2017-03-31,2017,3,6114,46,0.007523716,75.23716061,45
"47","Bowen Basin - North",2017-03-31,2017,3,34303,3,8.74559076465615e-05,0.874559076,2
"48","Cairns_Region",2017-03-31,2017,3,160339,60,0.000374207,3.742071486,59
"49","Charters Towers - Ayr - Ingham",2017-03-31,2017,3,42628,33,0.000774139,7.741390635,32
"50","Daly - Tiwi - West Arnhem",2017-03-31,2017,3,17945,9,0.000501532,5.015324603,8
"51","Darwin_Region",2017-03-31,2017,3,87677,86,0.000980873,9.808729769,85
"52","East Arnhem",2017-03-31,2017,3,14516,18,0.001240011,12.40011022,17
"53","East Pilbara",2017-03-31,2017,3,25894,2,7.72379701861435e-05,0.772379702,1
"54","Far North",2017-03-31,2017,3,33560,139,0.004141836,41.41835518,138
"55","Innisfail - Cassowary Coast",2017-03-31,2017,3,35652,11,0.000308538,3.085380904,10
"56","Katherine",2017-03-31,2017,3,20825,77,0.003697479,36.97478992,76
"57","Kimberley",2017-03-31,2017,3,36661,3,8.18308284007528e-05,0.818308284,2
"58","Litchfield",2017-03-31,2017,3,24668,6,0.00024323,2.432300957,5
"59","Mackay",2017-03-31,2017,3,117557,10,8.50651173473294e-05,0.850651173,9
"60","Outback - North",2017-03-31,2017,3,30820,64,0.002076574,20.76573653,63
"61","Palmerston",2017-03-31,2017,3,36800,29,0.000788043,7.880434783,28
"62","Port Douglas - Daintree",2017-03-31,2017,3,12129,9,0.000742023,7.420232501,8
"63","Tablelands (East) - Kuranda",2017-03-31,2017,3,41661,19,0.000456062,4.560620244,18
"64","Townsville",2017-03-31,2017,3,192601,45,0.000233644,2.336436467,44
"65","West Pilbara",2017-03-31,2017,3,34522,1,2.89670355135855e-05,0.289670355,0
"66","Whitsunday",2017-03-31,2017,3,22285,3,0.00013462,1.346196993,2
"67","Alice Springs",2017-04-30,2017,4,39616,21,0.000530089,5.30088853,20
"68","Barkly",2017-04-30,2017,4,6114,53,0.008668629,86.68629375,52
"69","Bowen Basin - North",2017-04-30,2017,4,34303,6,0.000174912,1.749118153,5
"70","Cairns_Region",2017-04-30,2017,4,160339,45,0.000280655,2.806553615,44
"71","Charters Towers - Ayr - Ingham",2017-04-30,2017,4,42628,15,0.000351881,3.518813925,14
"72","Daly - Tiwi - West Arnhem",2017-04-30,2017,4,17945,8,0.000445807,4.458066314,7
"73","Darwin_Region",2017-04-30,2017,4,87677,91,0.0010379,10.37900476,90
"74","East Arnhem",2017-04-30,2017,4,14516,16,0.001102232,11.0223202,15
"75","East Pilbara",2017-04-30,2017,4,25894,1,3.86189850930718e-05,0.386189851,0
"76","Far North",2017-04-30,2017,4,33560,93,0.002771156,27.71156138,92
"77","Innisfail - Cassowary Coast",2017-04-30,2017,4,35652,6,0.000168294,1.682935039,5
"78","Katherine",2017-04-30,2017,4,20825,65,0.003121248,31.21248499,64
"79","Kimberley",2017-04-30,2017,4,36661,1,2.7276942800251e-05,0.272769428,0
"80","Litchfield",2017-04-30,2017,4,24668,4,0.000162153,1.621533971,3
"81","Mackay",2017-04-30,2017,4,117557,9,7.65586056125964e-05,0.765586056,8
"82","Outback - North",2017-04-30,2017,4,30820,33,0.001070733,10.7073329,32
"83","Palmerston",2017-04-30,2017,4,36800,18,0.00048913,4.891304348,17
"84","Port Douglas - Daintree",2017-04-30,2017,4,12129,8,0.000659576,6.595762223,7
