,DIC1,WAIC1,MPL1,DIC2,WAIC2,MPL2,DIC3,WAIC3,MPL3,DIC4,WAIC4,MPL4,DIC5,WAIC5,MPL5,avgDIC,avgWAIC,avgMPL
poiss1.RW1.valid,5485.502277,5383.075419,-3182.159695,6384.24192,6284.141416,-3744.084687,7283.540836,7173.760402,-4301.546359,8142.323563,8038.769516,-4783.708095,9005.048456,8894.848457,-5313.885356,7260.1314,7154.919,-4265.0768
poiss1.RW2.valid,5479.043254,5376.059935,-3187.641004,6375.03808,6272.124306,-3749.73968,7273.656506,7157.960511,-4307.949876,8125.298607,8015.083079,-4790.338181,8984.818037,8864.956834,-5320.862024,7247.5709,7137.2369,-4271.3062
poiss2.RW1.valid,5203.599119,5206.510423,-2899.598582,5958.737034,5965.085534,-3299.582093,6764.927613,6774.98995,-3728.892132,7514.494038,7529.599132,-4121.976773,8346.375933,8374.697201,-4585.822819,6757.6267,6770.1764,-3727.1745
poiss2.RW2.valid,5273.324509,5909.418455,-3034.175893,6018.340069,6685.165628,-3449.118267,6836.882007,7573.08638,-3894.196705,7574.975934,8327.391942,-4297.971111,8447.79221,9240.000301,-4781.012778,6830.2629,7547.0125,-3891.295
poiss3.RW1.valid,5404.969264,5327.074206,-3529.070051,6277.929767,6195.045556,-4120.178654,7168.655909,7078.213718,-4713.612759,8015.348772,7934.882431,-5241.875216,8861.786006,8767.356026,-5818.270165,7145.7379,7060.5144,-4684.6014
poiss3.RW2.valid,5404.969592,5327.07626,-3529.070163,6277.93038,6195.047465,-4120.1788,7168.662353,7078.230759,-4713.612527,8015.336102,7934.853128,-5241.875135,8861.785157,8767.353689,-5818.27048,7145.7367,7060.5123,-4684.6014
poiss4.RW1.valid,5199.324207,5208.033355,-3276.137377,5949.714011,5956.421009,-3722.114181,6763.707211,6778.475104,-4202.327681,7526.124007,7555.419472,-4649.032577,8367.469265,8392.970374,-5182.807679,6761.2677,6778.2639,-4206.4839
poiss4.RW2.valid,5269.642871,5878.723549,-3394.041073,6013.354513,6656.184394,-3851.667058,6830.580822,7562.850429,-4343.674978,7582.759854,8403.782293,-4796.464693,8461.859457,9237.40068,-5330.84119,6831.6395,7547.7883,-4343.3378
nb1.RW1.valid,5621.076993,5513.96093,-3182.769219,6564.566725,6452.672297,-3744.284081,8489.927952,8490.064061,-4310.858938,9400.025085,9397.634291,-4769.062302,10428.14623,10423.23958,-5283.367622,8100.7486,8055.5142,-4258.0684
nb1.RW2.valid,5615.360189,5509.72714,-3188.221925,6559.081877,6444.1014,-3749.96988,8481.107261,8482.452899,-4316.971281,9391.28574,9389.635008,-4775.538591,10416.31166,10414.16955,-5290.35608,8092.6293,8048.0172,-4264.2116
