,RMSE1,MAE1,r1,RMSE2,MAE2,r2,RMSE3,MAE3,r3,RMSE4,MAE4,r4,RMSE5,MAE5,r5,avgRMSE,avgMAE,avgr
poiss1.RW1.valid,36.24888129,25.46451554,0.584547892,44.01466078,31.52146232,0.62468373,32.52330977,22.99580937,0.696420543,43.67709196,30.13326928,0.519541031,40.11618174,25.95714048,0.477661975,39.316,27.2144,0.5806
poiss1.RW2.valid,36.25168928,25.46694835,0.572459895,44.00644176,31.51391341,0.614414909,32.52724624,22.99916466,0.687369077,43.67205019,30.1282668,0.509528437,40.11960438,25.96031651,0.429072212,39.3154,27.2137,0.5626
poiss2.RW1.valid,36.24802186,25.46583788,0.959196376,44.01054909,31.52105792,0.965359271,32.52327552,22.99694688,0.961726157,43.67358584,30.13214915,0.710760279,40.11024593,25.95591735,0.966907451,39.3131,27.2144,0.9128
poiss2.RW2.valid,36.24853144,25.46587629,0.888458099,44.00486066,31.51486942,0.870130879,32.52793084,23.00027408,0.880801807,43.67105815,30.13041323,0.632557387,40.11856216,25.9620762,0.789363472,39.3142,27.2147,0.8123
poiss3.RW1.valid,36.24837128,25.464106,0.58770806,44.01228494,31.519428,0.62692106,32.52320004,22.99578117,0.700512722,43.6758032,30.13210317,0.523035312,40.11665983,25.95767133,0.480206642,39.3153,27.2138,0.5837
poiss3.RW2.valid,36.24837132,25.46410602,0.587706414,44.01228494,31.519428,0.626921207,32.52320007,22.9957812,0.700514219,43.67580319,30.13210315,0.523033343,40.11665986,25.95767135,0.480205631,39.3153,27.2138,0.5837
poiss4.RW1.valid,36.24740458,25.46546344,0.961630326,44.00956716,31.52043969,0.963482475,32.52281571,22.99662765,0.960854308,43.67340348,30.13190331,0.708296903,40.1105767,25.9557338,0.962036288,39.3128,27.214,0.9113
poiss4.RW2.valid,36.24718067,25.4656168,0.905659999,44.00244747,31.51315188,0.742432183,32.52756517,23.00006311,0.88744695,43.67117328,30.13038488,0.651849355,40.11853502,25.96187935,0.771607871,39.3134,27.2142,0.7918
nb1.RW1.valid,36.24854404,25.46422066,0.585020859,44.01409429,31.52095286,0.624775927,32.52048028,22.99372483,0.778812486,43.67317842,30.12997639,0.601899284,40.11163603,25.95302011,0.553815013,39.3136,27.2124,0.6289
nb1.RW2.valid,36.25158841,25.46686047,0.573188204,44.00599825,31.51348803,0.612789875,32.52594259,22.99824941,0.760105173,43.66772775,30.12464039,0.583011671,40.11661569,25.95755939,0.528699789,39.3136,27.2122,0.6116
nb2.RW1.valid,36.24787038,25.46571481,0.959383338,44.01029069,31.52087712,0.965674674,32.52311006,22.99683323,0.961722351,43.67347621,30.13202644,0.711431363,40.11007621,25.95578646,0.967393886,39.313,27.2142,0.9131
nb2.RW2.valid,36.23436111,25.46055017,0.688268813,44.00153548,31.51401676,0.917270448,32.52790989,23.00025788,0.880626139,43.67050741,30.12939926,0.684665876,40.11275999,25.95997181,0.836490763,39.3094,27.2128,0.8015
nb3.RW1.valid,36.24702052,25.46292349,0.589666673,44.01022876,31.51757835,0.630094407,32.52203499,22.99481877,0.708001068,43.67368137,30.13013549,0.536181796,40.11346422,25.95468888,0.502368966,39.3133,27.212,0.5933
nb3.RW2.valid,36.24704537,25.46294511,0.589624526,44.01022005,31.51757158,0.630085269,32.52203665,22.99482017,0.707981428,43.67369185,30.1301438,0.536001734,40.113466,25.95469035,0.502335781,39.3133,27.212,0.5932
nb4.RW1.valid,36.24721784,25.46527849,0.962552588,44.00911688,31.5201552,0.966006535,32.52247281,22.99644327,0.962720655,43.67322638,30.13168965,0.709310849,40.11080994,25.9556607,0.957537758,39.3126,27.2138,0.9116
nb4.RW2.valid,36.23619535,25.46147363,0.708856212,43.99960828,31.51330013,0.928347892,32.52696966,22.99971528,0.906101305,43.67055451,30.12929322,0.689745226,40.11584651,25.96072831,0.845332954,39.3098,27.2129,0.8157
bin1.RW1.valid,36.24888432,25.46451792,0.584621369,44.01467691,31.52147576,0.624695261,32.52330452,22.99580521,0.696004805,43.67708052,30.13325784,0.519720893,40.1161719,25.95713095,0.47768227,39.316,27.2144,0.5805
bin1.RW2.valid,36.25178404,25.46703094,0.571814059,44.0065673,31.51402802,0.614576636,32.52721723,22.99913979,0.687300524,43.67197325,30.12819207,0.50910434,40.11953638,25.96025,0.430186729,39.3154,27.2137,0.5626
bin2.RW1.valid,36.24802053,25.46583704,0.959174768,44.0105578,31.52106376,0.965359536,32.52327663,22.99694758,0.961710951,43.67358181,30.13214493,0.710743355,40.11024357,25.95591744,0.96687973,39.3131,27.2144,0.9128
bin2.RW2.valid,36.24853274,25.46587753,0.888788086,44.00487395,31.5148698,0.869556218,32.52793222,23.00027485,0.880651766,43.67106058,30.13041424,0.63263997,40.11856108,25.96207795,0.789284298,39.3142,27.2147,0.8122
bin3.RW1.valid,36.24836703,25.46410347,0.587811922,44.01229036,31.51943254,0.626946459,32.52320322,22.99578382,0.700522113,43.67580443,30.13210425,0.523042456,40.11666117,25.95767246,0.48009952,39.3153,27.2138,0.5837
bin3.RW2.valid,36.24836948,25.46410474,0.5876533,44.01229036,31.51943253,0.626946527,32.5232037,22.99578421,0.700522876,43.67580493,30.13210462,0.523009432,40.11665753,25.95766947,0.480138362,39.3153,27.2138,0.5837
